,CONSTITUENTSYSTEMID,DAYSDIFF,r_percentile,count_gifts,f_percentile,total_giving,m_percentile,RFM,Rank_Pct
13741,1881E17E-836F-4806-B6D5-0A2C6F113B88,89,0.9435511460827917,40,0.8553540882654806,25488.0,0.9401984262743757,2.739103660622648,95.5528188286809
11847,19D73852-8E93-43CF-9BAC-58EDDD1730F4,24,0.9854943551146083,82,0.9427300718439959,3736.0,0.8106055422511119,2.738829969209716,95.54597701149426
12851,1905D7A2-CD25-4FE0-9128-C852EB0E74AB,109,0.9209716045159083,78,0.9381457406773862,8100.0,0.8793020868970236,2.738419432090318,95.53913519430762
11480,353CEEB3-CBC6-4208-846A-D3800C2E5453,15,0.9915839890523435,106,0.9613410879233664,2955.0,0.7854259322613752,2.738351009237085,95.53229337712096
13422,45BFB415-5AB4-49BF-943B-C5E3E060D9B1,154,0.89804994868286,66,0.921792678754704,15385.0,0.9183715360930551,2.7382141635306194,95.52545155993431
14245,4FF2C3E6-9604-4CC9-826B-3D72C51BCD09,273,0.871228190215532,52,0.8920287375983579,68000.0,0.9746835443037974,2.737940472117687,95.51176792556103
12674,BA57F199-2A6D-4AC5-AF55-1650FE53D4AF,70,0.97290455011974,54,0.8978446801231611,7020.0,0.8671912418747861,2.737940472117687,95.51176792556103
12640,14BFD714-9A1D-43D5-958E-351B336C94CC,89,0.9435511460827917,71,0.9295244611700307,6847.0,0.8648648648648649,2.737940472117687,95.51176792556103
13870,1D761A68-00B0-4087-A2C6-63C071276CCE,306,0.8647280191583989,67,0.9241190557646254,31165.0,0.9490249743414301,2.737872049264454,95.49808429118774
13077,5F278A89-78FD-4B7B-B8A1-3D91DDE0A776,93,0.9378720492644543,57,0.905029079712624,10390.0,0.8947656517276771,2.7376667807047554,95.4912424740011
14516,08F514D4-F74C-47DD-B39F-7AD3201FD6F7,1038,0.7531303455354088,247,0.9912418747861785,274281.39,0.993226137529935,2.7375983578515224,95.48440065681444
13357,69C19EC1-58D4-4CB2-9B33-B7D057DF3C45,211,0.8818337324666439,81,0.9415668833390353,14098.0,0.9139240506329114,2.7373246664385906,95.4775588396278
14063,8972E19B-BF15-4672-A05F-D8671D53EFFF,89,0.9435511460827917,35,0.8314060896339377,45000.0,0.9622305850153952,2.7371878207321245,95.47071702244116
13555,1E4F2339-A4F3-4237-AF48-C8844E70EE09,130,0.908450222374273,55,0.9007184399589463,18699.81,0.9274717755730414,2.7366404379062605,95.46387520525451
13636,97FB8DB2-2C72-4BAE-9C31-4558587AF6B2,89,0.9435511460827917,41,0.8589120766335956,21280.0,0.9330140266849127,2.7354772494013,95.45703338806787
